system,topic,rank,score
azimiv_wk1,23,1,0.2
azimiv_wk1,23,2,0.16
azimiv_wk1,23,3,0
azimiv_wk1,23,4,0.1024
azimiv_wk1,23,5,0.08192
azimiv_wk1,23,6,0.065536
azimiv_wk1,23,7,0
azimiv_wk1,24,1,0.2
azimiv_wk1,24,2,0
azimiv_wk1,24,3,0
azimiv_wk1,24,4,0.1024
azimiv_wk1,24,5,0
azimiv_wk1,24,6,0.065536
azimiv_wk1,24,7,0.0262144
azimiv_wk1,25,1,0
azimiv_wk1,25,2,0
azimiv_wk1,25,3,0
azimiv_wk1,25,4,0
azimiv_wk1,25,5,0
azimiv_wk1,25,6,0
azimiv_wk1,25,7,0
azimiv_wk1,26,1,0.2
azimiv_wk1,26,2,0.16
azimiv_wk1,26,3,0.128
azimiv_wk1,26,4,0.1024
azimiv_wk1,26,5,0.08192
azimiv_wk1,26,6,0.032768
azimiv_wk1,26,7,0
azimiv_wk1,27,1,0.2
azimiv_wk1,27,2,0.16
azimiv_wk1,27,3,0
azimiv_wk1,27,4,0.0512
azimiv_wk1,27,5,0.08192
azimiv_wk1,27,6,0
azimiv_wk1,27,7,0.0524288
azimiv_wk1,28,1,0.2
azimiv_wk1,28,2,0.16
azimiv_wk1,28,3,0.128
azimiv_wk1,28,4,0.1024
azimiv_wk1,28,5,0.08192
azimiv_wk1,28,6,0.065536
azimiv_wk1,28,7,0.0524288
azimiv_wk1,29,1,0.2
azimiv_wk1,29,2,0.08
azimiv_wk1,29,3,0.128
azimiv_wk1,29,4,0.1024
azimiv_wk1,29,5,0.04096
azimiv_wk1,29,6,0.032768
azimiv_wk1,29,7,0.0262144
azimiv_wk1,30,1,0.2
azimiv_wk1,30,2,0.08
azimiv_wk1,30,3,0.128
azimiv_wk1,30,4,0.0512
azimiv_wk1,30,5,0
azimiv_wk1,30,6,0.032768
azimiv_wk1,30,7,0.0524288
base.unipd.it,1,1,0.2
base.unipd.it,1,2,0.08
base.unipd.it,1,3,0
base.unipd.it,1,4,0.0512
base.unipd.it,1,5,0.08192
base.unipd.it,1,6,0
base.unipd.it,1,7,0
base.unipd.it,2,1,0
base.unipd.it,2,2,0
base.unipd.it,2,3,0.128
base.unipd.it,2,4,0.0512
base.unipd.it,2,5,0
base.unipd.it,2,6,0
base.unipd.it,2,7,0
base.unipd.it,3,1,0.2
base.unipd.it,3,2,0.16
base.unipd.it,3,3,0.064
base.unipd.it,3,4,0.0512
base.unipd.it,3,5,0.04096
base.unipd.it,3,6,0
base.unipd.it,3,7,0.0262144
base.unipd.it,4,1,0.2
base.unipd.it,4,2,0
base.unipd.it,4,3,0
base.unipd.it,4,4,0.0512
base.unipd.it,4,5,0
base.unipd.it,4,6,0
base.unipd.it,4,7,0.0524288
base.unipd.it,5,1,0.2
base.unipd.it,5,2,0.08
base.unipd.it,5,3,0.064
base.unipd.it,5,4,0.1024
base.unipd.it,5,5,0.08192
base.unipd.it,5,6,0
base.unipd.it,5,7,0.0524288
base.unipd.it,6,1,0.2
base.unipd.it,6,2,0.16
base.unipd.it,6,3,0
base.unipd.it,6,4,0.1024
base.unipd.it,6,5,0.08192
base.unipd.it,6,6,0.065536
base.unipd.it,6,7,0.0524288
base.unipd.it,7,1,0.2
base.unipd.it,7,2,0.16
base.unipd.it,7,3,0
base.unipd.it,7,4,0.1024
base.unipd.it,7,5,0.08192
base.unipd.it,7,6,0
base.unipd.it,7,7,0.0524288
base.unipd.it,8,1,0
base.unipd.it,8,2,0
base.unipd.it,8,3,0.064
base.unipd.it,8,4,0
base.unipd.it,8,5,0.08192
base.unipd.it,8,6,0
base.unipd.it,8,7,0
base.unipd.it,9,1,0.2
base.unipd.it,9,2,0.16
base.unipd.it,9,3,0.128
base.unipd.it,9,4,0.1024
base.unipd.it,9,5,0
base.unipd.it,9,6,0
base.unipd.it,9,7,0
base.unipd.it,10,1,0.2
base.unipd.it,10,2,0.16
base.unipd.it,10,3,0.128
base.unipd.it,10,4,0.1024
base.unipd.it,10,5,0.08192
base.unipd.it,10,6,0.065536
base.unipd.it,10,7,0.0524288
base.unipd.it,11,1,0.1
base.unipd.it,11,2,0.08
base.unipd.it,11,3,0
base.unipd.it,11,4,0
base.unipd.it,11,5,0
base.unipd.it,11,6,0.032768
base.unipd.it,11,7,0
base.unipd.it,12,1,0.1
base.unipd.it,12,2,0.16
base.unipd.it,12,3,0.128
base.unipd.it,12,4,0.0512
base.unipd.it,12,5,0.08192
base.unipd.it,12,6,0.065536
base.unipd.it,12,7,0.0262144
base.unipd.it,13,1,0.2
base.unipd.it,13,2,0.08
base.unipd.it,13,3,0.128
base.unipd.it,13,4,0.0512
base.unipd.it,13,5,0.08192
base.unipd.it,13,6,0.032768
base.unipd.it,13,7,0.0262144
base.unipd.it,14,1,0.1
base.unipd.it,14,2,0.08
base.unipd.it,14,3,0.064
base.unipd.it,14,4,0.0512
base.unipd.it,14,5,0.08192
base.unipd.it,14,6,0.032768
base.unipd.it,14,7,0.0262144
base.unipd.it,15,1,0.2
base.unipd.it,15,2,0
base.unipd.it,15,3,0
base.unipd.it,15,4,0
base.unipd.it,15,5,0
base.unipd.it,15,6,0
base.unipd.it,15,7,0
base.unipd.it,16,1,0
base.unipd.it,16,2,0.08
base.unipd.it,16,3,0.064
base.unipd.it,16,4,0.0512
base.unipd.it,16,5,0.04096
base.unipd.it,16,6,0
base.unipd.it,16,7,0.0262144
base.unipd.it,17,1,0.2
