system,topic,score
IRIT_marked_mu_pair,15,0.003
IRIT_marked_mu_pair,16,0.9994
IRIT_marked_mu_pair,17,0.8679
IRIT_marked_mu_pair,18,0.9681
IRIT_marked_mu_pair,19,0.6333
IRIT_marked_mu_pair,20,0.9808
IRIT_marked_mu_pair,21,0.0166
IRIT_marked_mu_pair,22,0.8645
IRIT_marked_mu_pair,23,0.0321
IRIT_marked_mu_pair,24,0.8658
IRIT_marked_mu_pair,25,0.9832
IRIT_marked_mu_pair,26,0.6557
IRIT_marked_mu_pair,27,0.9945
IRIT_marked_mu_pair,28,0.9993
IRIT_marked_mu_pair,29,0.9843
IRIT_marked_mu_pair,30,0.8724
IRIT_marked_un_pair,1,0.9151
IRIT_marked_un_pair,2,0.9201
IRIT_marked_un_pair,3,0.9505
IRIT_marked_un_pair,4,0.9731
IRIT_marked_un_pair,5,0.4916
IRIT_marked_un_pair,6,0.9498
IRIT_marked_un_pair,7,0.4409
IRIT_marked_un_pair,8,0.4651
IRIT_marked_un_pair,9,0.9844
IRIT_marked_un_pair,10,0.9999
IRIT_marked_un_pair,11,0.5103
IRIT_marked_un_pair,12,0.9464
IRIT_marked_un_pair,13,0.9301
IRIT_marked_un_pair,14,0.25
IRIT_marked_un_pair,15,0.1252
IRIT_marked_un_pair,16,0.9993
IRIT_marked_un_pair,17,0.8634
IRIT_marked_un_pair,18,0.9909
IRIT_marked_un_pair,19,0.8438
IRIT_marked_un_pair,20,0.9967
IRIT_marked_un_pair,21,0.0665
IRIT_marked_un_pair,22,0.9334
IRIT_marked_un_pair,23,0.0704
IRIT_marked_un_pair,24,0.7327
IRIT_marked_un_pair,25,0.9707
IRIT_marked_un_pair,26,0.6562
IRIT_marked_un_pair,27,0.8741
IRIT_marked_un_pair,28,0.9996
IRIT_marked_un_pair,29,0.9686
IRIT_marked_un_pair,30,0.9734
KU_run1,1,0.4926
KU_run1,2,0.6541
KU_run1,3,0.9426
KU_run1,4,0.2505
KU_run1,5,0
KU_run1,6,0.2319
KU_run1,7,0.8789
KU_run1,8,0.3293
KU_run1,9,0.9627
KU_run1,10,1
KU_run1,11,0.3345
KU_run1,12,0.0673
KU_run1,13,0.5715
KU_run1,14,0.3627
KU_run1,15,0.7505
KU_run1,16,0.753
KU_run1,17,0.9999
KU_run1,18,0.9662
KU_run1,19,0.0313
KU_run1,20,0.9063
KU_run1,21,0.9711
KU_run1,22,0.1094
KU_run1,23,0.4947
KU_run1,24,0.9664
KU_run1,25,0.25
KU_run1,26,0.2146
KU_run1,27,0.8708
KU_run1,28,0.9843
KU_run1,29,0.7109
KU_run1,30,0.9997
KU_run3,1,0.9994
KU_run3,2,0.6221
KU_run3,3,0.897
KU_run3,4,0.0469
KU_run3,5,0
KU_run3,6,0.9945
KU_run3,7,0.4387
KU_run3,8,0.7738
KU_run3,9,0.9983
KU_run3,10,0.9841
KU_run3,11,0.5294
KU_run3,12,0.4994
KU_run3,13,0.3246
KU_run3,14,0.0575
KU_run3,15,0.0939
KU_run3,16,0.6885
KU_run3,17,0.9609
KU_run3,18,0.3491
KU_run3,19,0.002
KU_run3,20,0.672
KU_run3,21,0.4906
KU_run3,22,0.6406
KU_run3,23,0.9178
KU_run3,24,0.7968
KU_run3,25,5e-04
KU_run3,26,0.3025
KU_run3,27,0.8589
KU_run3,28,0.9372
KU_run3,29,0.3593
KU_run3,30,0.4996
NTU_NMLAB_BM25_ALLQQ,1,0.9082
NTU_NMLAB_BM25_ALLQQ,2,0.0784
NTU_NMLAB_BM25_ALLQQ,3,0
